Vled(V),Iled(A),Vled_err,Iled_err(A)
0.00967741935483871,0.0,0.002280989616730798,0.0
0.34838709677419355,0.0,0.002280989616730804,0.0
0.7258064516129032,0.0,0.006842968850192413,0.0
1.0919354838709676,0.0,0.0011404948083654609,0.0
1.4532258064516128,2.19941348973607e-05,0.0011404948083654609,1.5552201932255442e-05
1.8161290322580643,7.331378299120235e-06,0.006842968850192373,5.184067310751814e-06
2.1903225806451614,0.0,0.0022809896167307647,0.0
2.4451612903225803,0.000498533724340176,0.0,0.0
2.5129032258064514,0.0017741935483870967,0.0022809896167307647,0.0
2.514516129032258,0.0026099706744868033,0.017107422125480973,0.00011404948083653983
