Index,Vled(V),Iled(A),Vled_err,Iled_err(A)
0,0.01129032258064516,0.0,0.003421484425096197,0.0
1,0.3419354838709677,0.0,0.0045619792334615885,0.0
2,0.7274193548387096,0.0,0.0011404948083654216,0.0
3,1.1,2.1994134897360704e-05,0.013685937700384825,5.184067310751814e-06
4,1.4564516129032257,0.0,0.003421484425096226,0.0
5,1.8096774193548386,2.932551319648094e-05,0.004561979233461609,0.0
6,2.1532258064516125,0.0,0.003421484425096226,0.0
7,2.4419354838709677,0.000469208211143695,0.0045619792334615295,0.0
8,2.5,0.0017741935483870967,0.009123958466923059,0.0
9,2.5435483870967737,0.0024706744868035185,0.003421484425096383,5.184067310751853e-06
